City,Hotel_Name,Url,Website_Rank,Availablity_Page_Number,Search_Time_Stamp
london hotels,https://www.booking.com/city/gb/london.en-gb.html,https://www.booking.com/city/gb/london.en-gb.html,1,1,0:00:16.969977
london hotels,https://www.tripadvisor.in/Hotels-g186338-London_England-Hotels.html,https://www.tripadvisor.in/Hotels-g186338-London_England-Hotels.html,2,1,0:00:17.031979
london hotels,https://www.trivago.in/london-38715/hotel,https://www.trivago.in/london-38715/hotel,3,1,0:00:17.125984
london hotels,https://www.hotels.com › Hotels in United Kingdom,https://www.hotels.com › Hotels in United Kingdom,4,1,0:00:17.208989
london hotels,https://www.expedia.co.in › Hotels › Europe › United Kingdom › England › London,https://www.expedia.co.in › Hotels › Europe › United Kingdom › England › London,5,1,0:00:17.268992
london hotels,https://www.makemytrip.com/hotels-international/united_kingdom/london-hotels/,https://www.makemytrip.com/hotels-international/united_kingdom/london-hotels/,6,1,0:00:17.333996
london hotels,https://www.lastminute.com › Europe › United Kingdom › England,https://www.lastminute.com › Europe › United Kingdom › England,7,1,0:00:17.398001
london hotels,https://www.kayak.com › Hotels › United Kingdom › England,https://www.kayak.com › Hotels › United Kingdom › England,8,1,0:00:17.477004
london hotels,https://www.goibibo.com › Hotel Booking › International › United Kingdom,https://www.goibibo.com › Hotel Booking › International › United Kingdom,9,1,0:00:17.546007
london hotels,,,10,1,0:00:17.647016
london hotels,,,11,1,0:00:17.720018
london hotels,,,12,1,0:00:17.770020
london hotels,,,13,1,0:00:17.876029
london hotels,"https://www.agoda.com › United Kingdom Hotels › London, England Hotels","https://www.agoda.com › United Kingdom Hotels › London, England Hotels",14,1,0:00:17.929029
london hotels,https://santorinidave.com/best-hotels-london,https://santorinidave.com/best-hotels-london,15,2,0:00:31.447115
london hotels,https://www.laterooms.com › ... › Greater London › London Hotels,https://www.laterooms.com › ... › Greater London › London Hotels,16,2,0:00:31.561788
london hotels,https://www.goibibo.com › Hotel Booking › International › United Kingdom,https://www.goibibo.com › Hotel Booking › International › United Kingdom,17,2,0:00:31.623791
london hotels,https://www.hotelscombined.com › United Kingdom › England,https://www.hotelscombined.com › United Kingdom › England,18,2,0:00:31.682794
london hotels,https://www.corinthia.com/en/hotels/london,https://www.corinthia.com/en/hotels/london,19,2,0:00:31.780800
london hotels,https://www.meininger-hotels.com/en/hotels/london/hotel-london-hyde-park/,https://www.meininger-hotels.com/en/hotels/london/hotel-london-hyde-park/,20,2,0:00:31.839803
london hotels,https://www.guoman.com/en/london/the-tower.html,https://www.guoman.com/en/london/the-tower.html,21,2,0:00:31.940658
london hotels,https://www.parkplaza.com/london-hotel-gb-se1-7ut/gbwestmi,https://www.parkplaza.com/london-hotel-gb-se1-7ut/gbwestmi,22,2,0:00:31.998662
london hotels,https://www.premierinn.com/gb/en/hotels/england/greater-london/london.html,https://www.premierinn.com/gb/en/hotels/england/greater-london/london.html,23,2,0:00:32.060680
london hotels,https://www.timeout.com/london/hotels,https://www.timeout.com/london/hotels,24,2,0:00:32.122669
